"id_sample","id_condition_int","cat_condition_type_int","id_es_int","chr_measure_name","is_measure_std_int","m_pre_int","sd_pre_int","n_pre_int","id_condition_ctl","cat_condition_type_ctl","id_es_ctl","is_measure_std_ctl","m_pre_ctl","sd_pre_ctl","n_pre_ctl"
"129_2","129_2Nm","1",179,"Past achievement (pretest ONLY, BOY)","NO - Not standardized",7.06,2.56,40,"129_2m","ctl",184,"NO - Not standardized",6.65,1.87,42
"129_2","129_2Nm","1",180,"Literacy level (pretest ONLY, BOY)","NO - Not standardized",3.31,1.49,40,"129_2m","ctl",185,"NO - Not standardized",3.35,0.89,42
"130","130Nm","1",186,"reading comprehension (Vlaamse
Test Begrijpend Lezen version grade 6)","YES - standardized",12.73,4.38,40,"130bau","ctl",187,"YES - standardized",13.14,4.52,50
"131","131Vm","1",188,"comprehension skill test","NO - Not standardized",4.5,2.7,10,"131m","ctl",191,"NO - Not standardized",4.3,2.2,10
"131","131Vm","2",189,"comprehension skill test","NO - Not standardized",4.5,2.8,10,"131m","ctl",191,"NO - Not standardized",4.3,2.2,10
"131","131Vm","3",190,"comprehension skill test","NO - Not standardized",4.9,1.9,10,"131m","ctl",191,"NO - Not standardized",4.3,2.2,10
"132","132Vm","1",192,"comprehension skill test","NO - Not standardized",4.5,2,10,"132Tm","ctl",193,"NO - Not standardized",5.9,2.3,10
"132","132VTm","2",194,"comprehension skill test","NO - Not standardized",5.5,1.5,10,"132Tm","ctl",193,"NO - Not standardized",5.9,2.3,10
"133","133NGc","1",195,"Passage Comprehension (SRI)","YES - standardized",7.75,2.41,12,"133c","ctl",196,"YES - standardized",8.25,2.41,12
"135","135NVGcm","1",199,"Sentence Comprehension (SC)","YES - standardized",4.85,2.11,20,"135m","ctl",202,"YES - standardized",4.4,2.19,20
"135","135NVGcm","1",200,"Passage Comprehension (PCO)","YES - standardized",7.65,2.5,20,"135m","ctl",203,"YES - standardized",8.5,3.02,20
"135","135NVGcm","1",201,"* MAP composite","YES - standardized",186.2,11.12,20,"135m","ctl",204,"YES - standardized",185.47,9.02,20
"136","136m","1",205,"comprehension skill test","NO - Not standardized",5.6,1.4,11,"136m","ctl",208,"NO - Not standardized",5.5,3.2,11
"136","136VTm","2",206,"comprehension skill test","NO - Not standardized",5.4,1.2,11,"136m","ctl",208,"NO - Not standardized",5.5,3.2,11
"136","136VTm","3",207,"comprehension skill test","NO - Not standardized",5.8,1.5,11,"136m","ctl",208,"NO - Not standardized",5.5,3.2,11
"137","137Nm","1",209,"comprehension skill test","NO - Not standardized",5.7,1.7,11,"137m","ctl",211,"NO - Not standardized",6.5,2.9,11
"137","137NVTm","2",210,"comprehension skill test","NO - Not standardized",6.4,1.7,11,"137m","ctl",211,"NO - Not standardized",6.5,2.9,11
"138","138Nm","1",212,"PIRLS Read comprehension","NO - Not standardized",7.33,3.09,248,"138m","ctl",213,"NO - Not standardized",6.93,2.96,293
"139","139NGTcm","1",214,"GRADE Sentence Comprehension subtest","YES - standardized",2.55,0.93,14,"139cm","ctl",215,"YES - standardized",1.86,0.95,11
"140_1","140_1Ncm","1",216,"Reading Comprehension Tests","NO - Not standardized",7.82,3.7,17,"140_1bau","ctl",217,"NO - Not standardized",7.64,3.65,14
"140_2","140_2Ncm","1",218,"Reading Comprehension Tests","NO - Not standardized",9.67,3.42,12,"140_2bau","ctl",219,"NO - Not standardized",9.64,3.47,14
"141","141NTm","1",220,"Main Idea Test","YES - standardized",3.82,1.31,22,"141cm","ctl",228,"YES - standardized",3.79,1.61,21
"141","141NTm","1",221,"Passage Specific Test - Passage Production Subtest","NO - Not standardized",2.14,1.36,22,"141cm","ctl",229,"NO - Not standardized",1.71,1.19,21
"141","141NTm","1",222,"Passage Specific Test - Passage Identification Subtest","NO - Not standardized",4.32,1.52,22,"141cm","ctl",230,"NO - Not standardized",4.1,1.22,21
"141","141NTm","1",223,"Passage Specific Test - Total Score","NO - Not standardized",6.45,2.24,22,"141cm","ctl",231,"NO - Not standardized",5.81,2.18,21
"141","141Nm","2",224,"Main Idea Test","YES - standardized",3.7,1.73,20,"141cm","ctl",228,"YES - standardized",3.79,1.61,21
"141","141Nm","2",225,"Passage Specific Test - Passage Production Subtest","NO - Not standardized",1.55,1.4,20,"141cm","ctl",229,"NO - Not standardized",1.71,1.19,21
"141","141Nm","2",226,"Passage Specific Test - Passage Identification Subtest","NO - Not standardized",4.2,1.44,20,"141cm","ctl",230,"NO - Not standardized",4.1,1.22,21
"141","141Nm","2",227,"Passage Specific Test - Total Score","NO - Not standardized",5.75,2.2,20,"141cm","ctl",231,"NO - Not standardized",5.81,2.18,21
"142_1","142_1Tm","1",232,"reading comprehension","NO - Not standardized",4.18,2.6,11,"142_1m","ctl",235,"NO - Not standardized",4.44,2.92,9
"142_1","142_1Tm","2",233,"reading comprehension","NO - Not standardized",4.38,2.5,9,"142_1m","ctl",235,"NO - Not standardized",4.44,2.92,9
"142_2","142_2Tm","1",236,"reading comprehension","NO - Not standardized",7.94,2.78,18,"142_2m","ctl",239,"NO - Not standardized",8.2,1.97,15
"142_2","142_2Tm","2",237,"reading comprehension","NO - Not standardized",7.91,2.12,11,"142_2m","ctl",239,"NO - Not standardized",8.2,1.97,15
"143","143Nm","1",240,"General Comprehension Scores","NO - Not standardized",8.2,3.302,50.75,"143bau","ctl",243,"NO - Not standardized",8.316,2.286,50.75
"143","143Nm","1",240,"General Comprehension Scores","NO - Not standardized",8.2,3.302,50.75,"143bau","ctl",247,"NO - Not standardized",7.44,3.28,50.75
"143","143NGTm","2",241,"General Comprehension Scores","NO - Not standardized",7.5,2.686,50.75,"143bau","ctl",243,"NO - Not standardized",8.316,2.286,50.75
"143","143NGTm","2",241,"General Comprehension Scores","NO - Not standardized",7.5,2.686,50.75,"143bau","ctl",247,"NO - Not standardized",7.44,3.28,50.75
"143","143Nm","1",244,"General Comprehension Scores","NO - Not standardized",9.381,2.991,50.75,"143bau","ctl",243,"NO - Not standardized",8.316,2.286,50.75
"143","143Nm","1",244,"General Comprehension Scores","NO - Not standardized",9.381,2.991,50.75,"143bau","ctl",247,"NO - Not standardized",7.44,3.28,50.75
"143","143GTm","2",245,"General Comprehension Scores","NO - Not standardized",8.739,3.208,50.75,"143bau","ctl",243,"NO - Not standardized",8.316,2.286,50.75
"143","143GTm","2",245,"General Comprehension Scores","NO - Not standardized",8.739,3.208,50.75,"143bau","ctl",247,"NO - Not standardized",7.44,3.28,50.75
"145","145NGm","1",257,"reading comprehension achievement test (RCAT)","NO - Not standardized",52.09,20.9,31,"145bau","ctl",258,"NO - Not standardized",56.77,14.3,31
"146","146NVGTm","1",259,"Reading comprehension","YES - standardized",5.69,2.59,95,"146bau","ctl",262,"YES - standardized",5.13,2.58,84
"146","146NVm","2",260,"Reading comprehension","YES - standardized",5.76,2.73,146,"146bau","ctl",262,"YES - standardized",5.13,2.58,84
"146","146m","3",261,"Reading comprehension","YES - standardized",5.97,2.59,89,"146bau","ctl",262,"YES - standardized",5.13,2.58,84
"147","147NVm","1",264,"FLVT Reading comprehension","YES - standardized",49.76,8.93,62,"147m","ctl",263,"YES - standardized",50.2,8.22,62
"147","147NVGTm","2",265,"FLVT Reading comprehension","YES - standardized",48.75,7.91,62,"147m","ctl",263,"YES - standardized",50.2,8.22,62
"148","148NVGm","1",267,"FLVT 5-6 Reading Comprehension","YES - standardized",50.81,9.19,129,"148Nm","ctl",266,"YES - standardized",49.31,8.22,133
"148","148NVGm","2",268,"FLVT 5-6 Reading Comprehension","YES - standardized",48.57,12.32,126,"148Nm","ctl",266,"YES - standardized",49.31,8.22,133
"148","148NGm","3",269,"FLVT 5-6 Reading Comprehension","YES - standardized",48.54,8.87,146,"148Nm","ctl",266,"YES - standardized",49.31,8.22,133
"149","149NGm","1",270,"(immediate) 1. Main idea","NO - Not standardized",2.5,1.83,16,"149Nm","ctl",286,"NO - Not standardized",2.19,1.52,16
"149","149NGm","1",271,"(immediate) 2. Summary","NO - Not standardized",2.94,1.77,16,"149Nm","ctl",287,"NO - Not standardized",3.88,1.93,16
"149","149NGm","1",272,"(immediate) 3. Oral retell quality","NO - Not standardized",2.56,0.96,16,"149Nm","ctl",288,"NO - Not standardized",3.06,1.24,16
"149","149NGm","1",273,"(immediate) 4. Oral retell information units","NO - Not standardized",3.56,1.67,16,"149Nm","ctl",289,"NO - Not standardized",4,2,16
"149","149NGm","1",274,"(immediate) 5. Oral retell main ideas","NO - Not standardized",2.06,1,16,"149Nm","ctl",290,"NO - Not standardized",2.44,0.96,16
"149","149NGm","1",275,"(immediate) 6. Written retell quality","NO - Not standardized",2.75,1,16,"149Nm","ctl",291,"NO - Not standardized",3,1.03,16
"149","149NGm","1",276,"(immediate) 7. Written retell information units","NO - Not standardized",2.69,2.06,16,"149Nm","ctl",292,"NO - Not standardized",4.06,2.08,16
"149","149NGm","1",277,"(immediate) 8. Written retell main ideas","NO - Not standardized",1.81,1.22,16,"149Nm","ctl",293,"NO - Not standardized",2.07,1.12,16
"149","149NGm","1",278,"(3 week) 1. Main idea","NO - Not standardized",2.5,1.83,16,"149Nm","ctl",294,"NO - Not standardized",2.19,1.52,16
"149","149NGm","1",279,"(3 week) 2. Summary","NO - Not standardized",2.94,1.77,16,"149Nm","ctl",295,"NO - Not standardized",3.88,1.93,16
"149","149NGm","1",280,"(3 week) 3. Oral retell quality","NO - Not standardized",2.56,0.96,16,"149Nm","ctl",296,"NO - Not standardized",3.06,1.24,16
"149","149NGm","1",281,"(3 week) 4. Oral retell information units","NO - Not standardized",3.56,1.67,16,"149Nm","ctl",297,"NO - Not standardized",4,2,16
"149","149NGm","1",282,"(3 week) 5. Oral retell main ideas","NO - Not standardized",2.06,1,16,"149Nm","ctl",298,"NO - Not standardized",2.44,0.96,16
"149","149NGm","1",283,"(3 week) 6. Written retell quality","NO - Not standardized",2.75,1,16,"149Nm","ctl",299,"NO - Not standardized",3,1.03,16
"149","149NGm","1",284,"(3 week) 7. Written retell information units","NO - Not standardized",2.69,2.06,16,"149Nm","ctl",300,"NO - Not standardized",4.06,2.08,16
"149","149NGm","1",285,"(3 week) 8. Written retell main ideas","NO - Not standardized",1.81,1.22,16,"149Nm","ctl",301,"NO - Not standardized",2.07,1.12,16
"150","150cm","1",303,"Posttest Unrelated","NO - Not standardized",NA,NA,NA,"150bau","ctl",302,"NO - Not standardized",NA,NA,NA
"150","150Gcm","2",304,"Posttest Unrelated","NO - Not standardized",NA,NA,NA,"150bau","ctl",302,"NO - Not standardized",NA,NA,NA
"151","151NVGm","1",305,"Retell Quality","NO - Not standardized",1.5,1.1,9,"151Nm","ctl",309,"NO - Not standardized",1.6,1.2,9
"151","151NVGm","1",306,"Retell Main Idea","NO - Not standardized",0.5,0.4,9,"151Nm","ctl",310,"NO - Not standardized",0.6,0.6,9
"151","151NVGm","1",307,"Multiple Choice","NO - Not standardized",5.2,1.8,9,"151Nm","ctl",311,"NO - Not standardized",5.8,1.9,9
"151","151NVGm","1",308,"WJ Passage Comprehension","YES - standardized",79.2,7.5,9,"151Nm","ctl",312,"YES - standardized",70.3,17.4,9
"152","152Nm","1",313,"GMRT-4 Comprehension","YES - standardized",19.74,10.05,38,"152m","ctl",314,"YES - standardized",23.16,8,38
"153","153Nm","1",315,"GMRT-4 Comprehension","YES - standardized",17.78,8.27,23,"153m","ctl",316,"YES - standardized",18.61,7.02,23
