"id_sample","id_condition_int","cat_condition_type_int","id_es_int","chr_measure_name","is_measure_std_int","m_delayed_int","sd_delayed_int","n_delayed_int","num_month_of_delayed_int","id_condition_ctl","cat_condition_type_ctl","id_es_ctl","is_measure_std_ctl","m_delayed_ctl","sd_delayed_ctl","n_delayed_ctl","num_month_of_delayed_ctl"
"149","149NGm","1","279","(3 week) 2. Summary","NO - Not standardized",NA,NA,NA,NA,"149Nm","ctl","295","NO - Not standardized",NA,NA,NA,NA
"149","149NGm","1","280","(3 week) 3. Oral retell quality","NO - Not standardized",NA,NA,NA,NA,"149Nm","ctl","296","NO - Not standardized",NA,NA,NA,NA
"149","149NGm","1","281","(3 week) 4. Oral retell information units","NO - Not standardized",NA,NA,NA,NA,"149Nm","ctl","297","NO - Not standardized",NA,NA,NA,NA
"149","149NGm","1","282","(3 week) 5. Oral retell main ideas","NO - Not standardized",NA,NA,NA,NA,"149Nm","ctl","298","NO - Not standardized",NA,NA,NA,NA
"149","149NGm","1","283","(3 week) 6. Written retell quality","NO - Not standardized",NA,NA,NA,NA,"149Nm","ctl","299","NO - Not standardized",NA,NA,NA,NA
"149","149NGm","1","284","(3 week) 7. Written retell information units","NO - Not standardized",NA,NA,NA,NA,"149Nm","ctl","300","NO - Not standardized",NA,NA,NA,NA
"149","149NGm","1","285","(3 week) 8. Written retell main ideas","NO - Not standardized",NA,NA,NA,NA,"149Nm","ctl","301","NO - Not standardized",NA,NA,NA,NA
"150","150cm","1","303","Posttest Unrelated","NO - Not standardized",NA,NA,NA,NA,"150bau","ctl","302","NO - Not standardized",NA,NA,NA,NA
"150","150Gcm","2","304","Posttest Unrelated","NO - Not standardized",NA,NA,NA,NA,"150bau","ctl","302","NO - Not standardized",NA,NA,NA,NA
"151","151NVGm","1","305","Retell Quality","NO - Not standardized",NA,NA,NA,NA,"151Nm","ctl","309","NO - Not standardized",NA,NA,NA,NA
"151","151NVGm","1","306","Retell Main Idea","NO - Not standardized",NA,NA,NA,NA,"151Nm","ctl","310","NO - Not standardized",NA,NA,NA,NA
"151","151NVGm","1","307","Multiple Choice","NO - Not standardized",NA,NA,NA,NA,"151Nm","ctl","311","NO - Not standardized",NA,NA,NA,NA
"151","151NVGm","1","308","WJ Passage Comprehension","YES - standardized",NA,NA,NA,NA,"151Nm","ctl","312","YES - standardized",NA,NA,NA,NA
"152","152Nm","1","313","GMRT-4 Comprehension","YES - standardized",NA,NA,NA,NA,"152m","ctl","314","YES - standardized",NA,NA,NA,NA
"153","153Nm","1","315","GMRT-4 Comprehension","YES - standardized",NA,NA,NA,NA,"153m","ctl","316","YES - standardized",NA,NA,NA,NA
